customer_id,region,signup_date
CUST0001,North,2025-05-31
CUST0002,Central,2024-01-08
CUST0003,East,2024-12-12
CUST0004,West,2025-03-03
CUST0005,South,2025-07-30
CUST0006,Central,2025-07-30
CUST0007,South,2025-08-21
CUST0008,North,2024-07-26
CUST0009,Central,2025-03-02
CUST0010,North,2024-12-29
CUST0011,South,2025-08-28
CUST0012,Central,2023-10-02
CUST0013,Central,2024-09-09
CUST0014,East,2025-07-16
CUST0015,East,2025-07-23
CUST0016,South,2025-07-23
CUST0017,South,2025-06-21
CUST0018,South,2025-04-06
CUST0019,West,2025-05-11
CUST0020,West,2025-06-25
CUST0021,West,2025-02-24
CUST0022,West,2025-08-02
CUST0023,North,2025-06-24
CUST0024,East,2025-06-02
CUST0025,North,2025-05-03
CUST0026,East,2024-10-29
CUST0027,South,2025-07-19
CUST0028,Central,2025-04-10
CUST0029,South,2025-03-06
CUST0030,North,2025-08-23
CUST0031,North,2025-02-26
CUST0032,West,2025-07-26
CUST0033,East,2025-08-19
CUST0034,North,2024-01-16
CUST0035,North,2023-10-28
CUST0036,West,2024-10-06
CUST0037,North,2025-06-21
CUST0038,West,2025-08-12
CUST0039,West,2025-01-14
CUST0040,North,2025-05-08
CUST0041,North,2025-08-06
CUST0042,Central,2025-04-18
CUST0043,South,2025-08-26
CUST0044,South,2024-05-09
CUST0045,West,2025-07-04
CUST0046,Central,2025-01-27
CUST0047,Central,2025-06-19
CUST0048,West,2025-04-08
CUST0049,South,2025-03-27
CUST0050,North,2025-07-23
CUST0051,West,2023-10-04
CUST0052,East,2024-11-07
CUST0053,South,2024-02-18
CUST0054,Central,2024-06-08
CUST0055,North,2025-03-03
CUST0056,East,2024-04-10
CUST0057,North,2025-08-14
CUST0058,East,2025-07-20
CUST0059,North,2025-08-23
CUST0060,North,2025-06-15
CUST0061,North,2025-05-26
CUST0062,East,2025-06-30
CUST0063,West,2024-09-14
CUST0064,East,2025-06-05
CUST0065,Central,2025-06-28
CUST0066,South,2025-03-29
CUST0067,South,2025-08-02
CUST0068,Central,2024-10-12
CUST0069,North,2025-08-17
CUST0070,Central,2023-04-19
CUST0071,North,2024-11-10
CUST0072,Central,2025-07-19
CUST0073,North,2025-08-31
CUST0074,Central,2024-09-29
CUST0075,East,2024-12-30
CUST0076,Central,2024-12-14
CUST0077,North,2024-11-10
CUST0078,East,2025-08-17
CUST0079,Central,2025-06-05
CUST0080,East,2025-08-08
CUST0081,East,2024-07-31
CUST0082,West,2025-02-18
CUST0083,East,2025-06-13
CUST0084,East,2025-08-19
CUST0085,East,2025-06-19
CUST0086,Central,2025-06-15
CUST0087,North,2024-12-14
CUST0088,South,2025-02-11
CUST0089,Central,2024-06-22
CUST0090,Central,2025-04-27
CUST0091,East,2025-08-07
CUST0092,East,2024-12-26
CUST0093,South,2024-11-19
CUST0094,North,2025-03-21
CUST0095,East,2024-11-11
CUST0096,South,2025-04-18
CUST0097,East,2025-04-07
CUST0098,North,2025-05-13
CUST0099,Central,2025-08-27
CUST0100,Central,2025-08-10
CUST0101,West,2025-08-26
CUST0102,East,2025-02-11
CUST0103,South,2025-06-18
CUST0104,West,2025-04-12
CUST0105,West,2024-05-13
CUST0106,North,2025-07-06
CUST0107,Central,2025-05-19
CUST0108,West,2024-11-24
CUST0109,Central,2025-07-12
CUST0110,West,2025-08-16
CUST0111,East,2025-06-25
CUST0112,South,2025-07-28
CUST0113,Central,2024-03-20
CUST0114,Central,2024-10-06
CUST0115,North,2025-02-13
CUST0116,North,2024-07-18
CUST0117,South,2024-10-11
CUST0118,West,2025-07-22
CUST0119,Central,2024-06-12
CUST0120,North,2025-03-30
CUST0121,East,2024-10-07
CUST0122,South,2024-06-06
CUST0123,Central,2025-06-17
CUST0124,West,2025-08-09
CUST0125,West,2025-07-12
CUST0126,East,2025-05-13
CUST0127,South,2024-09-26
CUST0128,South,2024-08-03
CUST0129,North,2025-08-31
CUST0130,Central,2025-04-12
CUST0131,West,2025-05-16
CUST0132,Central,2025-07-13
CUST0133,Central,2025-08-07
CUST0134,East,2025-06-11
CUST0135,West,2024-02-07
CUST0136,Central,2025-06-15
CUST0137,West,2025-04-08
CUST0138,North,2025-01-02
CUST0139,East,2025-06-03
CUST0140,North,2023-09-19
CUST0141,Central,2023-11-15
CUST0142,East,2025-07-05
CUST0143,North,2025-04-17
CUST0144,West,2025-06-22
CUST0145,East,2025-06-26
CUST0146,South,2025-08-25
CUST0147,North,2025-02-25
CUST0148,West,2025-04-15
CUST0149,East,2025-08-22
CUST0150,West,2025-06-28
CUST0151,East,2024-05-12
CUST0152,Central,2025-07-09
CUST0153,East,2025-08-01
CUST0154,East,2025-04-20
CUST0155,Central,2023-05-07
CUST0156,South,2025-07-08
CUST0157,North,2025-01-21
CUST0158,North,2024-11-19
CUST0159,West,2025-07-09
CUST0160,East,2024-12-15
CUST0161,West,2025-06-02
CUST0162,North,2025-02-13
CUST0163,North,2025-02-13
CUST0164,North,2025-04-01
CUST0165,South,2025-08-14
CUST0166,East,2024-09-06
CUST0167,South,2025-06-16
CUST0168,South,2025-07-22
CUST0169,Central,2025-08-24
CUST0170,South,2025-03-07
CUST0171,East,2025-01-18
CUST0172,West,2025-08-29
CUST0173,South,2025-04-11
CUST0174,East,2025-07-12
CUST0175,Central,2025-02-06
CUST0176,Central,2025-07-25
CUST0177,North,2025-01-10
CUST0178,Central,2025-05-27
CUST0179,East,2024-02-27
CUST0180,South,2025-08-03
CUST0181,East,2025-06-10
CUST0182,Central,2025-08-08
CUST0183,East,2024-04-02
CUST0184,South,2024-07-09
CUST0185,East,2025-07-04
CUST0186,North,2025-01-29
CUST0187,North,2024-09-27
CUST0188,North,2025-03-23
CUST0189,North,2025-04-04
CUST0190,North,2025-07-08
CUST0191,North,2025-08-13
CUST0192,East,2024-06-03
CUST0193,North,2024-05-28
CUST0194,South,2025-02-13
CUST0195,Central,2025-06-11
CUST0196,East,2025-06-08
CUST0197,West,2024-12-17
CUST0198,North,2024-06-04
CUST0199,North,2024-06-22
CUST0200,North,2024-11-03
CUST0201,North,2025-02-08
CUST0202,South,2025-08-15
CUST0203,North,2025-07-28
CUST0204,North,2024-06-01
CUST0205,North,2025-02-27
CUST0206,East,2025-08-31
CUST0207,North,2025-08-11
CUST0208,South,2025-01-27
CUST0209,East,2025-08-31
CUST0210,West,2025-07-28
CUST0211,North,2025-03-26
CUST0212,West,2025-01-09
CUST0213,East,2025-02-02
CUST0214,North,2025-07-13
CUST0215,Central,2024-12-26
CUST0216,Central,2025-07-09
CUST0217,North,2025-06-15
CUST0218,South,2024-12-01
CUST0219,West,2025-02-04
CUST0220,West,2024-08-19
CUST0221,North,2025-01-30
CUST0222,North,2025-03-17
CUST0223,South,2025-08-13
CUST0224,East,2025-06-02
CUST0225,East,2025-07-02
CUST0226,South,2025-07-08
CUST0227,East,2023-09-10
CUST0228,West,2025-05-25
CUST0229,North,2024-06-13
CUST0230,South,2025-02-14
CUST0231,West,2024-10-20
CUST0232,Central,2025-04-15
CUST0233,East,2025-03-13
CUST0234,East,2025-04-19
CUST0235,North,2025-07-20
CUST0236,South,2024-12-19
CUST0237,East,2025-06-28
CUST0238,North,2025-08-28
CUST0239,South,2025-02-06
CUST0240,South,2025-07-25
CUST0241,North,2024-02-15
CUST0242,South,2023-12-26
CUST0243,North,2024-04-27
CUST0244,South,2025-06-01
CUST0245,North,2025-08-29
CUST0246,Central,2024-03-23
CUST0247,East,2025-05-13
CUST0248,West,2023-10-22
CUST0249,West,2023-11-09
CUST0250,East,2024-08-14
CUST0251,North,2025-06-24
CUST0252,East,2025-05-27
CUST0253,East,2024-08-17
CUST0254,West,2025-06-17
CUST0255,South,2025-07-26
CUST0256,North,2025-03-23
CUST0257,South,2024-02-29
CUST0258,South,2025-01-06
CUST0259,East,2025-03-17
CUST0260,East,2025-08-12
CUST0261,South,2025-02-23
CUST0262,Central,2023-02-22
CUST0263,East,2025-08-02
CUST0264,North,2025-04-08
CUST0265,North,2024-07-09
CUST0266,North,2024-12-05
CUST0267,North,2025-01-06
CUST0268,North,2025-01-02
CUST0269,North,2025-06-04
CUST0270,South,2025-06-24
CUST0271,North,2024-10-05
CUST0272,Central,2024-10-04
CUST0273,North,2024-07-25
CUST0274,East,2024-05-01
