order_id,customer_id,order_date,category,quantity,unit_price,revenue
ORD00860,CUST0171,2025-09-01,Electronics,1,23789.09,23789.09
ORD04561,CUST0312,2025-09-01,Sports & Fitness,1,1702.04,1702.04
ORD05501,CUST0294,2025-09-01,Beauty & Personal Care,1,929.24,929.24
ORD00888,CUST0010,2025-09-01,Fashion,2,3488.47,6976.94
ORD05357,CUST0150,2025-09-01,Home & Kitchen,1,2475.3,2475.3
ORD02465,CUST0137,2025-09-01,Home & Kitchen,2,7121.61,14243.22
ORD02466,CUST0130,2025-09-01,Books,2,226.32,452.64
ORD03019,CUST0138,2025-09-01,Beauty & Personal Care,3,2365.28,7095.84
ORD05129,CUST0033,2025-09-01,Fashion,1,1918.33,1918.33
ORD04785,CUST0037,2025-09-01,Sports & Fitness,1,1829.31,1829.31
ORD04319,CUST0171,2025-09-01,Electronics,1,27163.29,27163.29
ORD03945,CUST0296,2025-09-01,Sports & Fitness,1,684.89,684.89
ORD01592,CUST0086,2025-09-01,Home & Kitchen,1,1710.63,1710.63
ORD00303,CUST0004,2025-09-01,Sports & Fitness,1,3711.68,3711.68
ORD04686,CUST0241,2025-09-01,Electronics,1,37058.27,37058.27
ORD00785,CUST0369,2025-09-01,Home & Kitchen,1,4836.95,4836.95
ORD00004,CUST0149,2025-09-01,Sports & Fitness,1,6466.64,6466.64
ORD01626,CUST0212,2025-09-01,Electronics,1,14785.49,14785.49
ORD03618,CUST0371,2025-09-01,Sports & Fitness,1,6234.18,6234.18
ORD00316,CUST0127,2025-09-02,Books,2,772.88,1545.76
ORD04874,CUST0336,2025-09-02,Sports & Fitness,1,6404.01,6404.01
ORD01074,CUST0117,2025-09-02,Beauty & Personal Care,3,756.87,2270.61
ORD04468,CUST0167,2025-09-02,Home & Kitchen,2,3370.93,6741.86
ORD04832,CUST0257,2025-09-02,Books,1,268.93,268.93
ORD03069,CUST0062,2025-09-02,Sports & Fitness,1,9007.95,9007.95
ORD02047,CUST0383,2025-09-02,Home & Kitchen,1,7158.13,7158.13
ORD02226,CUST0333,2025-09-02,Fashion,1,1894.19,1894.19
ORD03004,CUST0224,2025-09-02,Beauty & Personal Care,1,1065.14,1065.14
ORD02538,CUST0392,2025-09-02,Sports & Fitness,1,9396.82,9396.82
ORD04326,CUST0237,2025-09-02,Books,1,672.31,672.31
ORD03290,CUST0285,2025-09-02,Beauty & Personal Care,1,634.9,634.9
ORD05430,CUST0192,2025-09-02,Home & Kitchen,1,3984.31,3984.31
ORD02530,CUST0320,2025-09-02,Electronics,1,29403.55,29403.55
ORD05433,CUST0144,2025-09-02,Sports & Fitness,1,4925.94,4925.94
ORD04438,CUST0328,2025-09-02,Books,1,871.1,871.1
ORD00929,CUST0010,2025-09-02,Fashion,1,1938.44,1938.44
ORD01442,CUST0205,2025-09-02,Fashion,1,1771.06,1771.06
ORD01083,CUST0144,2025-09-02,Electronics,2,35460.42,70920.84
ORD05190,CUST0393,2025-09-03,Electronics,1,22095.44,22095.44
ORD00519,CUST0038,2025-09-03,Fashion,1,3413.8,3413.8
ORD01553,CUST0368,2025-09-03,Fashion,1,4407.82,4407.82
ORD03241,CUST0264,2025-09-03,Electronics,1,8763.36,8763.36
ORD05240,CUST0389,2025-09-03,Home & Kitchen,1,4487.73,4487.73
ORD05081,CUST0262,2025-09-03,Electronics,1,43106.79,43106.79
ORD00157,CUST0117,2025-09-03,Fashion,2,4776.8,9553.6
ORD03456,CUST0225,2025-09-03,Home & Kitchen,1,7975.48,7975.48
ORD02985,CUST0327,2025-09-03,Home & Kitchen,2,365.87,731.74
ORD02206,CUST0265,2025-09-03,Beauty & Personal Care,1,2011.54,2011.54
ORD00887,CUST0105,2025-09-03,Sports & Fitness,2,8510.46,17020.92
ORD01843,CUST0209,2025-09-03,Fashion,1,2276.27,2276.27
ORD00460,CUST0248,2025-09-04,Electronics,1,39600.91,39600.91
ORD04347,CUST0071,2025-09-04,Electronics,1,13111.55,13111.55
ORD00760,CUST0001,2025-09-04,Sports & Fitness,1,2901.56,2901.56
ORD01697,CUST0143,2025-09-04,Home & Kitchen,3,5088.74,15266.22
ORD04295,CUST0237,2025-09-04,Sports & Fitness,1,2407.04,2407.04
ORD00965,CUST0215,2025-09-04,Beauty & Personal Care,1,355.08,355.08
ORD05413,CUST0389,2025-09-04,Electronics,1,29364.87,29364.87
ORD04157,CUST0229,2025-09-04,Home & Kitchen,1,6746.52,6746.52
ORD02909,CUST0367,2025-09-04,Electronics,2,9838.92,19677.84
ORD01554,CUST0017,2025-09-04,Home & Kitchen,1,3503.12,3503.12
ORD04850,CUST0355,2025-09-04,Sports & Fitness,1,5481.54,5481.54
ORD00680,CUST0271,2025-09-04,Sports & Fitness,1,6255.49,6255.49
ORD04733,CUST0119,2025-09-04,Books,1,244.89,244.89
ORD01822,CUST0124,2025-09-05,Sports & Fitness,1,975.81,975.81
ORD04681,CUST0305,2025-09-05,Electronics,2,33793.37,67586.74
ORD00952,CUST0366,2025-09-05,Electronics,1,32786.7,32786.7
ORD03489,CUST0268,2025-09-05,Sports & Fitness,1,5980.98,5980.98
ORD04621,CUST0255,2025-09-05,Electronics,2,33983.62,67967.24
ORD04749,CUST0030,2025-09-05,Fashion,2,3129.78,6259.56
ORD02116,CUST0267,2025-09-05,Home & Kitchen,3,7148.74,21446.22
ORD03856,CUST0273,2025-09-05,Sports & Fitness,3,8651.86,25955.58
ORD00202,CUST0267,2025-09-05,Sports & Fitness,1,5787.7,5787.7
ORD03660,CUST0235,2025-09-05,Home & Kitchen,1,4998.5,4998.5
ORD05017,CUST0027,2025-09-05,Fashion,2,4822.26,9644.52
ORD04783,CUST0280,2025-09-05,Home & Kitchen,2,3590.49,7180.98
ORD05010,CUST0039,2025-09-05,Fashion,1,2931.88,2931.88
ORD05331,CUST0087,2025-09-05,Sports & Fitness,1,8881.27,8881.27
ORD05192,CUST0232,2025-09-05,Beauty & Personal Care,1,3394.57,3394.57
ORD03382,CUST0024,2025-09-05,Sports & Fitness,1,4635.82,4635.82
ORD05174,CUST0341,2025-09-06,Sports & Fitness,1,8574.18,8574.18
ORD04257,CUST0386,2025-09-06,Fashion,1,4665.41,4665.41
ORD01958,CUST0395,2025-09-06,Electronics,1,13325.94,13325.94
ORD01899,CUST0340,2025-09-06,Electronics,1,11831.95,11831.95
ORD02810,CUST0051,2025-09-06,Fashion,1,1519.89,1519.89
ORD05272,CUST0171,2025-09-06,Sports & Fitness,1,1223.72,1223.72
ORD01806,CUST0051,2025-09-06,Sports & Fitness,1,947.05,947.05
ORD00435,CUST0161,2025-09-06,Fashion,1,1362.25,1362.25
ORD04871,CUST0145,2025-09-06,Sports & Fitness,1,6309.7,6309.7
ORD03417,CUST0289,2025-09-06,Home & Kitchen,1,2681.82,2681.82
ORD02273,CUST0090,2025-09-06,Fashion,1,1146.26,1146.26
ORD02267,CUST0330,2025-09-06,Home & Kitchen,1,3456.11,3456.11
ORD01490,CUST0177,2025-09-06,Beauty & Personal Care,2,357.87,715.74
